Size,Waist,Hip
S,74-79,90-95
M,80-85,97-102
L,86-91,103-108
XL,92-98,109-114
XXL,100-105,117-122
30,76,94
31,79,97
32,81,99
33,84,102
34,86,104
36,91,109
38,97,114
40,102,119
