Size,Shoe Size,Measurements (cm)
39,7,24.9
49,7.5,25.6
41,8,26.3
42,9,26.9
42.5,9.5,27.3
43,10,27.6
43.5,10.5,27.9
44,11,28.3
45,12,28.9
46,13,29.6
47,14,30.3
