Size,Bust,Waist,Hips
00/XXS,78,59,86
0/XS,80,61,89
2/XS,83,64,91
4/S,85,66,94
6/S,88,69,97
8/M,90,71,99
10/M,94,75,103
12/L,98,77,107
14/XL,100,81,110.5
