Size,Bust,Waist,Hips
XS,82.5,64.7,90.2
S,87.6,69.8,95.2
M,93.3,75.6,101
L,101,83.2,108.6
XL,106.7,88.9,114.3
1,81.3,63.5,88.9
2,83.8,66,91.4
4,86.3,68.6,94
6,88.9,71.1,96.5
8,91.4,73.7,99.1
10,95.2,77.5,102.9
12,99,81.3,106.7
14,102.9,85.1,110.5
16,106.7,88.9,114.3
