Size,Bust,Waist,Hips
2XS,76.3,60.25,84.3
2XST,76.3,60.25,84.3
XS,82.0,66.0,90.8
XSTP,82.0,66.0,90.8
XS/TP,82.0,66.0,90.8
S,88.3,71.75,97.3
S/P,88.3,71.75,97.3
M,94.8,78.0,103.5
M/M,94.8,78.0,103.5
L,101.8,85.0,110.5
L/G,101.8,85.0,110.5
XL,109.3,94.0,117.5
XLTG,109.3,94.0,117.5
XL/TG,109.3,94.0,117.5
2XL,117.5,104.0,125.0
2XTG,117.5,104.0,125.0
3XL,126.5,114.0,133.3
1X,112.5,97.5,119.5
2X,122.5,107.5,129.5
3X,132.5,117.5,139.5
4X,142.5,127.5,149.5
