Size,Chest,Waist,Hips
3XST,71.1,61.0,73.7
2XST,76.2,64.0,78.7
XS,81.3,71.1,83.8
XSTP,81.3,71.1,83.8
XS/TP,81.3,71.1,83.8
S,90.2,78.7,91.4
S/P,90.2,78.7,91.4
M,97.8,85.1,97.8
M/M,97.8,85.1,97.8
L,106.7,94.0,106.7
L/G,106.7,94.0,106.7
XL,116.8,104.1,116.8
XLTG,116.8,104.1,116.8
XL/TG,116.8,104.1,116.8
2XL,127.0,114.3,125.7
2XLTG,127.0,114.3,125.7
2XTG,127.0,114.3,125.7
3XL,141.0,128.3,135.9
3XLTG,141.0,128.3,135.9
3XTG,141.0,128.3,135.9
