Size,Waist,Hips,Inseam
2XST,63.5,76.2,81.0
XS,71.1,83.8,81.0
XS/TP,71.1,83.8,81.0
XSTP,71.1,83.8,81.0
S,78.7,91.4,81.5
S/P,78.7,91.4,81.5
M/M,85.1,97.8,82.0
M,85.1,97.8,82.0
L,94.0,106.7,82.5
L/G,94.0,106.7,82.5
XL,104.1,116.8,83.1
XL/TG,104.1,116.8,83.1
XLTG,104.1,116.8,83.1
2XL,114.3,125.7,82.5
2XLTG,114.3,125.7,82.5
2XTG,114.3,125.7,82.5
3XL,128.3,135.9,82.0
3XLTG,128.3,135.9,82.0
3XTG,128.3,135.9,82.0
4XLTG,144.8,144.8,81.5
5XLTG,157.5,154.9,81.0
